date,close,adj_close
2010-06-29,1.592666984,1.592666984
2010-06-30,1.588667035,1.588667035
2010-07-01,1.463999987,1.463999987
2010-07-02,1.279999971,1.279999971
2010-07-06,1.074000001,1.074000001
2010-07-07,1.053333044,1.053333044
2010-07-08,1.164000034,1.164000034
2010-07-09,1.159999967,1.159999967
2010-07-12,1.136667013,1.136667013
2010-07-13,1.209332943,1.209332943
2010-07-14,1.322667003,1.322667003
2010-07-15,1.325999975,1.325999975
2010-07-16,1.376000047,1.376000047
2010-07-19,1.460667014,1.460667014
2010-07-20,1.353332996,1.353332996
2010-07-21,1.34800005,1.34800005
2010-07-22,1.399999976,1.399999976
2010-07-23,1.419332981,1.419332981
2010-07-26,1.396667004,1.396667004
2010-07-27,1.370000005,1.370000005
2010-07-28,1.381332994,1.381332994
2010-07-29,1.356667042,1.356667042
2010-07-30,1.329332948,1.329332948
2010-08-02,1.394667029,1.394667029
2010-08-03,1.463333011,1.463333011
2010-08-04,1.417333007,1.417333007
2010-08-05,1.363332987,1.363332987
2010-08-06,1.305999994,1.305999994
2010-08-09,1.30666697,1.30666697
2010-08-10,1.268666983,1.268666983
2010-08-11,1.19333303,1.19333303
2010-08-12,1.173333049,1.173333049
2010-08-13,1.221333027,1.221333027
2010-08-16,1.251999974,1.251999974
2010-08-17,1.276666999,1.276666999
2010-08-18,1.251332998,1.251332998
2010-08-19,1.25266695,1.25266695
2010-08-20,1.273332953,1.273332953
2010-08-23,1.342000008,1.342000008
2010-08-24,1.279999971,1.279999971
2010-08-25,1.326666951,1.326666951
2010-08-26,1.316666961,1.316666961
2010-08-27,1.313333035,1.313333035
2010-08-30,1.324666977,1.324666977
2010-08-31,1.298666954,1.298666954
2010-09-01,1.363332987,1.363332987
2010-09-02,1.404000044,1.404000044
2010-09-03,1.403332949,1.403332949
2010-09-07,1.369333029,1.369333029
2010-09-08,1.393332958,1.393332958
2010-09-09,1.380666971,1.380666971
2010-09-10,1.344666958,1.344666958
2010-09-13,1.381332994,1.381332994
2010-09-14,1.407999992,1.407999992
2010-09-15,1.465332985,1.465332985
2010-09-16,1.396000028,1.396000028
2010-09-17,1.348667026,1.348667026
2010-09-20,1.404000044,1.404000044
2010-09-21,1.384667039,1.384667039
2010-09-22,1.324666977,1.324666977
2010-09-23,1.30400002,1.30400002
2010-09-24,1.340000033,1.340000033
2010-09-27,1.368667006,1.368667006
2010-09-28,1.426666975,1.426666975
2010-09-29,1.465332985,1.465332985
2010-09-30,1.36066699,1.36066699
2010-10-01,1.373332977,1.373332977
2010-10-04,1.399333,1.399333
2010-10-05,1.407999992,1.407999992
2010-10-06,1.363999963,1.363999963
2010-10-07,1.361999989,1.361999989
2010-10-08,1.361999989,1.361999989
2010-10-11,1.349333048,1.349333048
2010-10-12,1.349333048,1.349333048
2010-10-13,1.369333029,1.369333029
2010-10-14,1.383332968,1.383332968
2010-10-15,1.369333029,1.369333029
2010-10-18,1.348667026,1.348667026
2010-10-19,1.336666942,1.336666942
2010-10-20,1.376667023,1.376667023
2010-10-21,1.383332968,1.383332968
2010-10-22,1.381332994,1.381332994
2010-10-25,1.389999986,1.389999986
2010-10-26,1.424000025,1.424000025
2010-10-27,1.399999976,1.399999976
2010-10-28,1.412667036,1.412667036
2010-10-29,1.45599997,1.45599997
2010-11-01,1.427332997,1.427332997
2010-11-02,1.416666985,1.416666985
2010-11-03,1.451333046,1.451333046
2010-11-04,1.659999967,1.659999967
2010-11-05,1.629333019,1.629333019
2010-11-08,1.665333033,1.665333033
2010-11-09,1.64199996,1.64199996
2010-11-10,1.957332969,1.957332969
2010-11-11,1.869333029,1.869333029
2010-11-12,1.989333034,1.989333034
2010-11-15,2.053333044,2.053333044
2010-11-16,1.978000045,1.978000045
2010-11-17,1.965999961,1.965999961
2010-11-18,1.99266696,1.99266696
2010-11-19,2.065999985,2.065999985
2010-11-22,2.226666927,2.226666927
2010-11-23,2.304666996,2.304666996
2010-11-24,2.364666939,2.364666939
2010-11-26,2.354666948,2.354666948
2010-11-29,2.288666964,2.288666964
2010-11-30,2.35533309,2.35533309
2010-12-01,2.289999962,2.289999962
2010-12-02,2.156666994,2.156666994
2010-12-03,2.099333048,2.099333048
2010-12-06,2.020667076,2.020667076
2010-12-07,2.104000092,2.104000092
2010-12-08,2.157999992,2.157999992
2010-12-09,2.136667013,2.136667013
2010-12-10,2.101332903,2.101332903
2010-12-13,2.036667109,2.036667109
2010-12-14,1.90199995,1.90199995
2010-12-15,1.973333001,1.973333001
2010-12-16,2.053999901,2.053999901
2010-12-17,2.090667009,2.090667009
2010-12-20,2.113332987,2.113332987
2010-12-21,2.150666952,2.150666952
2010-12-22,2.175333023,2.175333023
2010-12-23,2.006000042,2.006000042
2010-12-27,1.70333302,1.70333302
2010-12-28,1.760666966,1.760666966
2010-12-29,1.848667026,1.848667026
2010-12-30,1.766667008,1.766667008
2010-12-31,1.775333047,1.775333047
2011-01-03,1.774667025,1.774667025
2011-01-04,1.777999997,1.777999997
2011-01-05,1.788666964,1.788666964
2011-01-06,1.858667016,1.858667016
2011-01-07,1.882666945,1.882666945
2011-01-10,1.896667004,1.896667004
2011-01-11,1.797333002,1.797333002
2011-01-12,1.797333002,1.797333002
2011-01-13,1.748000026,1.748000026
2011-01-14,1.716667056,1.716667056
2011-01-18,1.709332943,1.709332943
2011-01-19,1.601999998,1.601999998
2011-01-20,1.508000016,1.508000016
2011-01-21,1.536000013,1.536000013
2011-01-24,1.632666945,1.632666945
2011-01-25,1.645333052,1.645333052
2011-01-26,1.649999976,1.649999976
2011-01-27,1.661332965,1.661332965
2011-01-28,1.600667,1.600667
2011-01-31,1.606667042,1.606667042
2011-02-01,1.593999982,1.593999982
2011-02-02,1.595999956,1.595999956
2011-02-03,1.575332999,1.575332999
2011-02-04,1.56400001,1.56400001
2011-02-07,1.537999988,1.537999988
2011-02-08,1.632666945,1.632666945
2011-02-09,1.547333002,1.547333002
2011-02-10,1.547999978,1.547999978
2011-02-11,1.549999952,1.549999952
2011-02-14,1.538666964,1.538666964
2011-02-15,1.52266705,1.52266705
2011-02-16,1.648666978,1.648666978
2011-02-17,1.573333025,1.573333025
2011-02-18,1.545333028,1.545333028
2011-02-22,1.457999945,1.457999945
2011-02-23,1.455332994,1.455332994
2011-02-24,1.501999974,1.501999974
2011-02-25,1.574000001,1.574000001
2011-02-28,1.592666984,1.592666984
2011-03-01,1.595999956,1.595999956
2011-03-02,1.601333022,1.601333022
2011-03-03,1.623999953,1.623999953
2011-03-04,1.663333058,1.663333058
2011-03-07,1.662667036,1.662667036
2011-03-08,1.644000053,1.644000053
2011-03-09,1.648000002,1.648000002
2011-03-10,1.600667,1.600667
2011-03-11,1.604666948,1.604666948
2011-03-14,1.549999952,1.549999952
2011-03-15,1.529999971,1.529999971
2011-03-16,1.521332979,1.521332979
2011-03-17,1.520666957,1.520666957
2011-03-18,1.530666947,1.530666947
2011-03-21,1.515333056,1.515333056
2011-03-22,1.479333043,1.479333043
2011-03-23,1.480666995,1.480666995
2011-03-24,1.488667011,1.488667011
2011-03-25,1.516667008,1.516667008
2011-03-28,1.549999952,1.549999952
2011-03-29,1.594666958,1.594666958
2011-03-30,1.580667019,1.580667019
2011-03-31,1.850000024,1.850000024
2011-04-01,1.777333021,1.777333021
2011-04-04,1.722000003,1.722000003
2011-04-05,1.779999971,1.779999971
2011-04-06,1.766000032,1.766000032
2011-04-07,1.815999985,1.815999985
2011-04-08,1.766000032,1.766000032
2011-04-11,1.684666991,1.684666991
